Date,Close
1/8/15,1551.64
1/9/15,1563.49
1/12/15,1596.26
1/13/15,1595.53
1/14/15,1583
1/15/15,1617.99
1/16/15,1635.79
1/18/15,1532.84
1/19/15,1523.28
1/20/15,1668.56
1/21/15,1701.1
1/22/15,1721.18
1/23/15,1717.09
1/26/15,1709.83
1/27/15,1710.73
1/28/15,1714.14
1/29/15,1676.72
1/30/15,1718.36
2/2/15,1692.71
2/3/15,1654.21
2/4/15,1589.09
2/5/15,1662.4
2/6/15,1646.54
2/9/15,1647.84
2/10/15,1653.07
2/11/15,1643.76
2/12/15,1626.69
2/13/15,1627.29
2/15/15,1529.69
2/16/15,1535.4
2/17/15,1600.87
2/18/15,1598.58
2/19/15,1610.72
2/20/15,1610.12
2/23/15,1609.73
2/24/15,1591.69
2/25/15,1589.35
2/26/15,1611.94
2/27/15,1615.26
3/2/15,1614.39
3/3/15,1607.15
3/4/15,1594.08
3/5/15,1595.83
3/6/15,1574.66
3/9/15,1575.3
3/10/15,1573.53
3/11/15,1568.99
3/12/15,1561.59
3/13/15,1573.44
3/16/15,1572.74
3/17/15,1568.41
3/18/15,1544.99
3/19/15,1579.11
3/20/15,1577.38
3/23/15,1577.33
3/24/15,1578.21
3/25/15,1588.61
3/26/15,1596.55
3/27/15,1606.23
3/30/15,1594.93
3/31/15,1591.22
4/1/15,1610.75
4/2/15,1594.93
4/3/15,1585.57
4/6/15,1606.44
4/7/15,1601.3
4/8/15,1596.76
4/9/15,1589.63
4/10/15,1602.94
4/13/15,1599.45
4/14/15,1573.35
4/15/15,1558.74
4/16/15,1541.55
4/17/15,1555.92
4/20/15,1541.93
4/21/15,1560.97
4/22/15,1537.81
4/23/15,1534.91
4/24/15,1513.09
4/27/15,1536.38
4/28/15,1544.59
4/29/15,1540.87
4/30/15,1515.52
5/1/15,1517.63
5/4/15,1525.34
5/5/15,1532.76
5/6/15,1528.37
5/7/15,1528.81
5/8/15,1526.44
5/11/15,1524.21
5/12/15,1524.87
5/13/15,1547.35
5/14/15,1559.02
5/15/15,1562.64
5/18/15,1584.63
5/19/15,1569.91
5/20/15,1569.21
5/21/15,1561.48
5/22/15,1573.8
5/24/15,1478.88
5/25/15,1486.4
5/26/15,1571.8
5/27/15,1572.16
5/28/15,1572.37
5/29/15,1574.18
6/1/15,1583.27
6/2/15,1577.13
6/3/15,1573.78
6/4/15,1568.02
6/5/15,1555.67
6/8/15,1558.7
6/9/15,1555.58
6/10/15,1559.56
6/11/15,1556.78
6/12/15,1558.84
6/15/15,1565.14
6/16/15,1553.23
6/17/15,1541.82
6/18/15,1570.28
6/19/15,1574.14
6/22/15,1558.47
6/23/15,1551.58
6/24/15,1553.79
6/25/15,1546.42
6/26/15,1548.53
6/29/15,1564.98
6/30/15,1567.72
7/1/15,1576.66
7/2/15,1561.76
7/3/15,1468.38
7/6/15,1587.3
7/7/15,1566.95
7/8/15,1583.54
7/9/15,1574.06
7/10/15,1570.38
7/13/15,1471.78
7/14/15,1573.23
7/15/15,1588.92
7/16/15,1589.64
7/17/15,1575.69
7/20/15,1545.81
7/21/15,1532.44
7/22/15,1527.11
7/23/15,1530.57
7/24/15,1518.99
7/27/15,1531.22
7/28/15,1517.57
7/29/15,1516.7
7/30/15,1517.29
7/31/15,1527.42
8/3/15,1526.77
8/4/15,1533.91
8/5/15,1530.38
8/6/15,1527.85
8/7/15,1535.78
8/10/15,1533.8
8/11/15,1549.36
8/12/15,1553.34
